rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
33,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
34,The First Slam Dunk,"$138,826,118",-,-,"$138,826,118",100%
35,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%
36,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
37,Everything Everywhere All at Once,"$132,425,322","$77,169,469",58.3%,"$55,255,853",41.7%
38,A Man Called Otto,"$109,067,657","$64,267,657",58.9%,"$44,800,000",41.1%
39,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
40,"Lyle, Lyle, Crocodile","$104,088,441","$46,888,441",45%,"$57,200,000",55%
41,The Roundup,"$101,154,047","$812,859",0.8%,"$100,341,188",99.2%
42,The Woman King,"$97,250,903","$67,328,130",69.2%,"$29,922,773",30.8%
43,Downton Abbey: A New Era,"$92,621,236","$44,141,550",47.7%,"$48,479,686",52.3%
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%
50,Avatar 2022  Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%
51,Violent Night,"$76,004,035","$50,057,035",65.9%,"$25,947,000",34.1%
52,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%
53,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
54,Interstellar 2021 Re-release,"$71,712,456",-,-,"$71,712,456",100%
55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
56,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%
57,Babylon,"$63,378,608","$15,351,455",24.2%,"$48,027,153",75.8%
58,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
59,Whitney Houston: I Wanna Dance with Somebody,"$56,708,080","$23,708,080",41.8%,"$33,000,000",58.2%
60,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
61,The Whale,"$53,457,589","$17,453,440",32.6%,"$36,004,149",67.4%
62,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%
63,Marry Me,"$50,477,597","$22,438,180",44.5%,"$28,039,417",55.5%
64,The Banshees of Inisherin,"$50,276,018","$10,582,266",21%,"$39,693,752",79%
65,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
66,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
67,The Fabelmans,"$44,937,023","$17,348,945",38.6%,"$27,588,078",61.4%
68,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%
69,Paws of Fury: The Legend of Hank,"$42,492,752","$17,811,382",41.9%,"$24,681,370",58.1%
70,The Invitation,"$38,036,130","$25,100,080",66%,"$12,936,050",34%
71,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
72,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
73,Roald Dahl's Matilda the Musical,"$34,749,194",-,-,"$34,749,194",100%
74,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
75,Skyfall 2021 Re-release,"$33,910,282",-,-,"$33,910,282",100%
76,Hunt,"$33,811,307","$25,994",<0.1%,"$33,785,313",99.9%
77,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%
78,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
79,Shin Ultraman,"$32,125,023","$601,490",1.9%,"$31,523,533",98.1%
80,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
81,Mrs. Harris Goes to Paris,"$30,803,679","$10,433,915",33.9%,"$20,369,764",66.1%
82,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
83,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
84,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%
85,Serial (Bad) Weddings 3,"$27,818,440",-,-,"$27,818,440",100%
86,Tár,"$26,978,095","$6,773,650",25.1%,"$20,204,445",74.9%
87,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%
88,Triangle of Sadness,"$25,585,338","$4,608,096",18%,"$20,977,242",82%
89,Hero,"$25,103,871",-,-,"$25,103,871",100%
90,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
91,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,716,329",-,-,"$23,716,329",100%
92,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
93,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
94,Decision to Leave,"$22,857,899","$2,179,864",9.5%,"$20,678,035",90.5%
95,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
96,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
97,6/45,"$22,263,336",-,-,"$22,263,336",100%
98,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
99,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
100,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
101,Devotion,"$21,754,392","$20,511,938",94.3%,"$1,242,454",5.7%
102,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
103,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
104,Emergency Declaration,"$21,390,689","$412,196",1.9%,"$20,978,493",98.1%
105,Three Thousand Years of Longing,"$20,268,124","$8,286,741",40.9%,"$11,981,383",59.1%
106,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
107,The Amazing Maurice,"$20,025,675","$4,303,645",21.5%,"$15,722,030",78.5%
108,After Ever Happy,"$19,155,062","$1,072,750",5.6%,"$18,082,312",94.4%
109,Simone: Woman of the Century,"$19,131,774",-,-,"$19,131,774",100%
110,Beast,"$18,911,959",-,-,"$18,911,959",100%
111,Broker,"$18,789,037","$1,046,899",5.6%,"$17,742,138",94.4%
112,Godfather,"$18,737,287",-,-,"$18,737,287",100%
113,School of Magical Animals: Part 2,"$18,383,497",-,-,"$18,383,497",100%
114,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
115,November,"$18,037,653",-,-,"$18,037,653",100%
116,From Siberia with Love,"$17,954,691",-,-,"$17,954,691",100%
117,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%
118,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%
119,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
120,Father There Is Only One 3,"$16,707,892",-,-,"$16,707,892",100%
121,Even If This Love Disappears from the World Tonight,"$16,474,515",-,-,"$16,474,515",100%
122,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%
123,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
124,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
125,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
126,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%
127,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
128,Bones and All,"$15,134,907","$7,834,907",51.8%,"$7,300,000",48.2%
129,Terrifier 2,"$15,065,239","$10,640,105",70.6%,"$4,425,134",29.4%
130,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%
131,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$15,031,811",-,-,"$15,031,811",100%
132,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
133,Bros,"$14,781,779","$11,628,165",78.7%,"$3,153,614",21.3%
134,Superwho?,"$14,770,359",-,-,"$14,770,359",100%
135,X,"$14,740,889","$11,765,309",79.8%,"$2,975,580",20.2%
136,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
137,The Duke,"$14,227,217","$1,526,970",10.7%,"$12,700,247",89.3%
138,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
139,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%
140,She Said,"$13,916,531","$5,825,995",41.9%,"$8,090,536",58.1%
141,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
142,The Legend of Maula Jatt,"$13,839,539","$5,016,493",36.2%,"$8,823,046",63.8%
143,Glass Onion,"$13,280,000","$13,280,000",100%,-,-
144,Valimai,"$13,276,393",-,-,"$13,276,393",100%
145,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%
146,Moonage Daydream,"$12,989,960","$4,218,925",32.5%,"$8,771,035",67.5%
147,Land of Legends,"$12,345,260",-,-,"$12,345,260",100%
148,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
149,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
150,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
151,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
152,Living,"$11,866,097","$3,035,411",25.6%,"$8,830,686",74.4%
153,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,631,738","$1,588,491",13.7%,"$10,043,247",86.3%
154,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
155,Bergen,"$11,325,405",-,-,"$11,325,405",100%
156,Till,"$11,274,322","$9,000,202",79.8%,"$2,274,120",20.2%
157,Rise,"$11,196,824",-,-,"$11,196,824",100%
158,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
159,Chickenhare and the Hamster of Darkness,"$10,857,810",-,-,"$10,857,810",100%
160,Empire of Light,"$10,636,891","$1,177,577",11.1%,"$9,459,314",88.9%
161,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
162,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
163,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
164,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
165,Table for Six,"$10,138,355",-,-,"$10,138,355",100%
166,The Beasts,"$10,012,842",-,-,"$10,012,842",100%
167,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
168,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
169,Pearl,"$9,744,096","$9,423,445",96.7%,"$320,651",3.3%
170,"Good Luck to You, Leo Grande","$9,688,580",-,-,"$9,688,580",100%
171,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
172,Rheingold,"$9,602,641",-,-,"$9,602,641",100%
173,The Eight Mountains,"$9,568,829",-,-,"$9,568,829",100%
174,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
175,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
176,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"$9,064,247",-,-,"$9,064,247",100%
177,Women Talking,"$8,925,797","$5,456,531",61.1%,"$3,469,266",38.9%
178,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
179,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%
180,Yolki 9,"$8,385,030",-,-,"$8,385,030",100%
181,Don,"$8,287,406",-,-,"$8,287,406",100%
182,Shotgun Wedding,"$8,277,788",-,-,"$8,277,788",100%
183,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
184,Re/Member,"$8,166,175",-,-,"$8,166,175",100%
185,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
186,Aftersun,"$8,028,123","$1,658,790",20.7%,"$6,369,333",79.3%
187,The Tatta's,"$8,000,956",-,-,"$8,000,956",100%
188,Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%
189,Il grande giorno,"$7,754,391",-,-,"$7,754,391",100%
190,Rabbit Academy: Mission Eggpossible,"$7,704,225",-,-,"$7,704,225",100%
191,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%
192,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
193,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
194,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
195,How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
196,Listy do M. 5,"$7,328,061",-,-,"$7,328,061",100%
197,Laid-Back Camp Movie,"$7,317,913",-,-,"$7,317,913",100%
198,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
199,The New Toy,"$7,274,076",-,-,"$7,274,076",100%
200,Decibel,"$7,212,471","$60,579",0.8%,"$7,151,892",99.2%
