rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Avatar: The Way of Water,"$2,316,794,914","$683,029,557",29.5%,"$1,633,765,357",70.5%
2,Top Gun: Maverick,"$1,493,491,858","$718,732,821",48.1%,"$774,759,037",51.9%
3,Jurassic World: Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%
6,Black Panther: Wakanda Forever,"$859,196,637","$453,829,060",52.8%,"$405,367,577",47.2%
7,The Batman,"$770,945,583","$369,345,583",47.9%,"$401,600,000",52.1%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$480,305,185","$185,525,795",38.6%,"$294,779,390",61.4%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%
13,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
14,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
15,Black Adam,"$393,252,111","$168,152,111",42.8%,"$225,100,000",57.2%
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%
17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
23,DC League of Super-Pets,"$207,457,117","$93,657,117",45.1%,"$113,800,000",54.9%
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%
25,One Piece Film: Red,"$187,170,704","$12,775,324",6.8%,"$174,395,380",93.2%
26,M3GAN,"$176,110,350","$95,043,350",54%,"$81,067,000",46%
27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
28,Ticket to Paradise,"$168,500,217","$68,275,985",40.5%,"$100,224,232",59.5%
29,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
30,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
31,RRR,"$160,941,228","$14,500,000",9%,"$146,441,228",91%
32,Suzume,"$155,565,078","$6,002,189",3.9%,"$149,562,889",96.1%
