rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
80,Tu Jhoothi Main Makkaar,"$4,035,915","$2,503,604",62%,"$1,532,311",38%
81,Mari(dos),"$4,016,938",-,-,"$4,016,938",100%
82,Kutsal Damacana 4,"$3,890,946",-,-,"$3,890,946",100%
83,Besprintsipnyye v derevne,"$3,855,057",-,-,"$3,855,057",100%
84,Maybe I Do,"$3,836,114","$1,293,722",33.7%,"$2,542,392",66.3%
85,Nemesis the Movie: Mystery of Golden Spiral,"$3,821,231",-,-,"$3,821,231",100%
86,Un homme heureux,"$3,791,739",-,-,"$3,791,739",100%
87,O chem govoryat muzhchiny. Prostyye udovolstviya,"$3,686,446",-,-,"$3,686,446",100%
88,La Syndicaliste,"$3,668,184",-,-,"$3,668,184",100%
89,Les choses simples,"$3,662,979",-,-,"$3,662,979",100%
90,Left Behind: Rise of the Antichrist,"$3,649,422","$3,649,422",100%,-,-
91,Touken Ranbu 2,"$3,637,925",-,-,"$3,637,925",100%
92,The Journey: A Music Special from Andrea Bocelli,"$3,593,657","$3,574,915",99.5%,"$18,742",0.5%
93,Rebound,"$3,525,226",-,-,"$3,525,226",100%
94,Last Night of Amore,"$3,423,075",-,-,"$3,423,075",100%
95,Neposlushnaya,"$3,339,676",-,-,"$3,339,676",100%
96,A Thousand and One,"$3,338,195","$3,338,195",100%,-,-
97,The Communion Girl,"$3,330,047",-,-,"$3,330,047",100%
98,Tramite amicizia,"$3,212,885",-,-,"$3,212,885",100%
99,Switch,"$3,146,901",-,-,"$3,146,901",100%
100,Cats in the Museum,"$3,036,214",-,-,"$3,036,214",100%
101,2023 Oscar Nominated Short Films: Live Action,"$3,025,631","$3,025,631",100%,-,-
102,Count,"$2,871,507",-,-,"$2,871,507",100%
103,Beautiful Disaster,"$2,832,379",-,-,"$2,832,379",100%
104,Two Tickets to Greece,"$2,744,074",-,-,"$2,744,074",100%
105,Grazie ragazzi,"$2,722,775",-,-,"$2,722,775",100%
106,Yudo: The Way of the Bath,"$2,681,954",-,-,"$2,681,954",100%
107,Mafia Mamma,"$2,602,102","$2,519,288",96.8%,"$82,814",3.2%
108,Varisu,"$2,528,333",-,-,"$2,528,333",100%
109,The Lulus,"$2,521,080",-,-,"$2,521,080",100%
110,When Will It Be Again Like It Never Was Before,"$2,520,464",-,-,"$2,520,464",100%
111,Ostrov,"$2,517,672",-,-,"$2,517,672",100%
112,Come Out in Jesus Name,"$2,500,574","$2,500,574",100%,-,-
113,Klem,"$2,470,684",-,-,"$2,470,684",100%
114,Soulmate,"$2,466,306",-,-,"$2,466,306",100%
115,Illegal Hayatlar,"$2,372,356",-,-,"$2,372,356",100%
116,A Good Person,"$2,297,847","$2,203,970",95.9%,"$93,877",4.1%
117,The First Day of My Life,"$2,236,704",-,-,"$2,236,704",100%
118,Billie Eilish Live at the O2,"$2,123,117","$1,290,000",60.8%,"$833,117",39.2%
119,Woong-Nam,"$2,122,590",-,-,"$2,122,590",100%
120,Moving On,"$2,107,608","$2,107,608",100%,-,-
121,Vaincre ou mourir,"$2,107,350",-,-,"$2,107,350",100%
122,Heaven in Hell,"$2,103,819",-,-,"$2,103,819",100%
123,"Romina, VTM","$2,100,148",-,-,"$2,100,148",100%
124,Everything Under Control,"$2,093,286",-,-,"$2,093,286",100%
125,Fear,"$2,090,261","$2,090,261",100%,-,-
126,Svobodnyye otnosheniya,"$2,087,809",-,-,"$2,087,809",100%
127,Skinamarink,"$2,053,360","$2,052,272",99.9%,"$1,088",<0.1%
128,My Beautiful Man ～Eternal～,"$1,978,687",-,-,"$1,978,687",100%
129,El hotel de los líos. García y García 2,"$1,837,612",-,-,"$1,837,612",100%
130,Caveman,"$1,827,270",-,-,"$1,827,270",100%
131,Andre Rieu In Dublin 2023,"$1,815,103",-,-,"$1,815,103",100%
132,Do Unto Others,"$1,746,479",-,-,"$1,746,479",100%
133,Divertimento,"$1,690,265",-,-,"$1,690,265",100%
134,All Inclusive,"$1,690,162",-,-,"$1,690,162",100%
135,Huesera: The Bone Woman,"$1,684,551",-,-,"$1,684,551",100%
136,All of Those Voices,"$1,674,696",-,-,"$1,674,696",100%
137,Blueback,"$1,602,779",-,-,"$1,602,779",100%
138,Nefarious,"$1,565,402","$1,565,402",100%,-,-
139,Haita de actiune,"$1,563,668",-,-,"$1,563,668",100%
140,10 jours encore sans maman,"$1,549,588",-,-,"$1,549,588",100%
141,Romancham,"$1,544,653",-,-,"$1,544,653",100%
142,Byt,"$1,518,473",-,-,"$1,518,473",100%
143,Thunivu,"$1,510,268",-,-,"$1,510,268",100%
144,Princes of the Desert,"$1,480,456",-,-,"$1,480,456",100%
145,Dads Versus Moms,"$1,472,216",-,-,"$1,472,216",100%
146,Prání k narozeninám,"$1,458,945",-,-,"$1,458,945",100%
147,Invalid,"$1,415,024",-,-,"$1,415,024",100%
148,My Heart Puppy,"$1,373,203",-,-,"$1,373,203",100%
149,Grand Expectations,"$1,348,917",-,-,"$1,348,917",100%
150,Consecration,"$1,346,169","$538,551",40%,"$807,618",60%
151,Theory of Ambitions,"$1,344,185",-,-,"$1,344,185",100%
152,Marui Video,"$1,321,380",-,-,"$1,321,380",100%
153,Le clan,"$1,316,331",-,-,"$1,316,331",100%
154,Broken,"$1,271,950",-,-,"$1,271,950",100%
155,Hidden Blade,"$1,243,714","$803,189",64.6%,"$440,525",35.4%
156,"Baian the Assassin, M.D. Part 1","$1,234,515",-,-,"$1,234,515",100%
157,Bud chlap!,"$1,234,399",-,-,"$1,234,399",100%
158,Richard the Stork and the Mystery of the Great Jewel,"$1,219,092",-,-,"$1,219,092",100%
159,Beshenstvo,"$1,205,112",-,-,"$1,205,112",100%
160,Tchaikovsky's Wife,"$1,188,982",-,-,"$1,188,982",100%
161,Rye Lane,"$1,188,128",-,-,"$1,188,128",100%
162,No Dogs or Italians Allowed,"$1,179,778",-,-,"$1,179,778",100%
163,The Lord of the Rings: The Return of the King 20th Anniversary,"$1,176,085","$1,176,085",100%,-,-
164,Everything Everywhere All at Once 2023 Re-release,"$1,171,865",-,-,"$1,171,865",100%
165,Filip,"$1,154,515",-,-,"$1,154,515",100%
166,Next Sohee,"$1,154,324",-,-,"$1,154,324",100%
